"scope","path","kind","workspace_state","root_state","canonical_state","workspace_disposition","root_disposition","canonical_capability","retained_destination","required_evidence"
"workspace_and_root_mirror",".dockerignore","deployment_or_operational_entrypoint","present","byte_identical","byte_identical","discard_duplicate_canonical_present","discard_after_deploy_path_migration","cloud_run_service/.dockerignore (byte-identical capability)","cloud_run_service/.dockerignore","canonical test/oracle passes and no caller resolves root/workspace .dockerignore"
"workspace_and_root_mirror",".gcloudignore","deployment_or_operational_entrypoint","present","byte_identical","byte_identical","discard_duplicate_canonical_present","discard_after_deploy_path_migration","cloud_run_service/.gcloudignore (byte-identical capability)","cloud_run_service/.gcloudignore","canonical test/oracle passes and no caller resolves root/workspace .gcloudignore"
"workspace_and_root_mirror",".pytest_cache/CACHEDIR.TAG","generated_or_operational_artifact","present","absent","absent","discard_obsolete_or_generated","not_present","no canonical equivalent required (generated or obsolete)","none","absence/consumer scan confirms .pytest_cache/CACHEDIR.TAG is not required after deletion"
"workspace_and_root_mirror",".pytest_cache/v/cache/lastfailed","generated_or_operational_artifact","present","absent","absent","discard_obsolete_or_generated","not_present","no canonical equivalent required (generated or obsolete)","none","absence/consumer scan confirms .pytest_cache/v/cache/lastfailed is not required after deletion"
"workspace_and_root_mirror",".pytest_cache/v/cache/nodeids","generated_or_operational_artifact","present","absent","absent","discard_obsolete_or_generated","not_present","no canonical equivalent required (generated or obsolete)","none","absence/consumer scan confirms .pytest_cache/v/cache/nodeids is not required after deletion"
"workspace_and_root_mirror","agent_feedback.txt","documentation_or_provenance","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","agent_feedback.txt","SHA-256 and consumer/provenance audit for agent_feedback.txt before workspace deletion"
"workspace_and_root_mirror","architectural doubt.txt","documentation_or_provenance","present","absent","absent","archive_outside_runtime","not_present","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","docs/archive/duplicate-runtime/architectural doubt.txt","SHA-256 at docs/archive/duplicate-runtime/architectural doubt.txt plus archive index entry before workspace deletion"
"workspace_and_root_mirror","BOARD_BUDDY_INTEGRATION_EVAL_PLAN.md","documentation_or_provenance","present","absent","absent","archive_outside_runtime","not_present","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","docs/archive/duplicate-runtime/BOARD_BUDDY_INTEGRATION_EVAL_PLAN.md","SHA-256 at docs/archive/duplicate-runtime/BOARD_BUDDY_INTEGRATION_EVAL_PLAN.md plus archive index entry before workspace deletion"
"workspace_and_root_mirror","BOARD_BUDDY_INTEGRATION_PLAN.md","documentation_or_provenance","present","absent","absent","archive_outside_runtime","not_present","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","docs/archive/duplicate-runtime/BOARD_BUDDY_INTEGRATION_PLAN.md","SHA-256 at docs/archive/duplicate-runtime/BOARD_BUDDY_INTEGRATION_PLAN.md plus archive index entry before workspace deletion"
"workspace_and_root_mirror","board_buddy_llm_integration_guide.md","documentation_or_provenance","present","absent","absent","archive_outside_runtime","not_present","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","docs/archive/duplicate-runtime/board_buddy_llm_integration_guide.md","SHA-256 at docs/archive/duplicate-runtime/board_buddy_llm_integration_guide.md plus archive index entry before workspace deletion"
"workspace_and_root_mirror","build_bridges.py","build_or_evaluation_tool","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","build_bridges.py","SHA-256 and consumer/provenance audit for build_bridges.py before workspace deletion"
"workspace_and_root_mirror","build_curriculum_seed.py","build_or_evaluation_tool","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","build_curriculum_seed.py","SHA-256 and consumer/provenance audit for build_curriculum_seed.py before workspace deletion"
"workspace_and_root_mirror","build_hope_bank.py","build_or_evaluation_tool","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","build_hope_bank.py","SHA-256 and consumer/provenance audit for build_hope_bank.py before workspace deletion"
"workspace_and_root_mirror","build_index.py","build_or_evaluation_tool","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","build_index.py","SHA-256 and consumer/provenance audit for build_index.py before workspace deletion"
"workspace_and_root_mirror","build_local_datasets.py","build_or_evaluation_tool","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","build_local_datasets.py","SHA-256 and consumer/provenance audit for build_local_datasets.py before workspace deletion"
"workspace_and_root_mirror","chapter_seed_polynomials.json","runtime_or_support_code","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","chapter_seed_polynomials.json","SHA-256 and consumer/provenance audit for chapter_seed_polynomials.json before workspace deletion"
"workspace_and_root_mirror","check_touch.py","runtime_or_support_code","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","check_touch.py","SHA-256 and consumer/provenance audit for check_touch.py before workspace deletion"
"workspace_and_root_mirror","cloud_env.bat","deployment_or_operational_entrypoint","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","cloud_env.bat","SHA-256 and consumer/provenance audit for cloud_env.bat before workspace deletion"
"workspace_and_root_mirror","cognitive_analyzer/__init__.py","runtime_or_support_code","present","byte_identical","byte_identical","discard_duplicate_canonical_present","discard_duplicate_behavior_after_caller_migration","cloud_run_service/cognitive_analyzer/__init__.py (byte-identical capability)","cloud_run_service/cognitive_analyzer/__init__.py","canonical test/oracle passes and no caller resolves root/workspace cognitive_analyzer/__init__.py"
"workspace_and_root_mirror","cognitive_analyzer/analyzer.py","runtime_or_support_code","present","byte_identical","divergent","discard_duplicate_canonical_present","discard_duplicate_behavior_after_caller_migration","cloud_run_service/cognitive_analyzer/analyzer.py (authoritative canonical capability; workspace behavior rejected)","cloud_run_service/cognitive_analyzer/analyzer.py","canonical test/oracle passes and no caller resolves root/workspace cognitive_analyzer/analyzer.py"
"workspace_and_root_mirror","cognitive_analyzer/test_analyzer.py","test","present","byte_identical","absent","discard_after_test_migration","migrate_test_then_discard_duplicate","canonical module/Turn test seam; test case not yet migrated","cloud_run_service/cognitive_analyzer/test_analyzer.py","target test passes at cloud_run_service/cognitive_analyzer/test_analyzer.py; original case-to-target review recorded"
"workspace_and_root_mirror","cognitive_classifier/__init__.py","runtime_or_support_code","present","byte_identical","byte_identical","discard_duplicate_canonical_present","discard_duplicate_behavior_after_caller_migration","cloud_run_service/cognitive_classifier/__init__.py (byte-identical capability)","cloud_run_service/cognitive_classifier/__init__.py","canonical test/oracle passes and no caller resolves root/workspace cognitive_classifier/__init__.py"
"workspace_and_root_mirror","cognitive_classifier/augment_rare_labels.py","runtime_or_support_code","present","byte_identical","absent","archive_outside_runtime","retain_outside_runtime","no canonical runtime equivalent (non-runtime source, tool, asset, or provenance)","cognitive_classifier/augment_rare_labels.py","SHA-256 and consumer/provenance audit for cognitive_classifier/augment_rare_labels.py before workspace deletion"
