student_utterance,concept_id,miniLM_labels,hope_signals,target_policy_action,category
this graph is so confusing what is even happening here,INHERIT_CURRENT_CONCEPT,"confusion, graphical, question",High load_risk,REPRESENTATION_TRANSLATION,1
what is sin cos tan in real life? just numbers means nothing to me,jemh108__fundamental_trig_ratios,"confusion, physical, representation_shift","Moderate load_risk, High ki_score opportunity",VISUAL_ANALOGY,1
"i dont get this diagram at all, what do these arrows mean",INHERIT_CURRENT_CONCEPT,"confusion, diagrammatic, question",High load_risk,REPRESENTATION_TRANSLATION,1
i understand the formula for finding zeroes but like what is parabola why is it U shaped,jemh102__quadratic_zero_geometry,"confusion, graphical, representation_shift",Moderate load_risk,REPRESENTATION_TRANSLATION,1
can u like explain this with a drawing instead of all these big big words,INHERIT_CURRENT_CONCEPT,"representation_shift, diagrammatic, verbal_analogy","Partial mastery, High productive_struggle",REPRESENTATION_TRANSLATION,1
"the BPT diagram is good but how do i use this in sums, like show me an example with numbers",jemh106__basic_proportionality_theorem,"diagrammatic, example_request, procedural_focus",Partial mastery,REPRESENTATION_TRANSLATION,1
"all these symbols are too much for me, can you use simple language please",INHERIT_CURRENT_CONCEPT,"cognitive_overload, representation_shift, verbal_analogy",High load_risk,EXPLAIN,1
"these grouped freq tables are so big, can we see it as a bar chart or something for less confusion",jemh113__grouped_frequency_distribution,"tabular, graphical, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"i dont get how this HCF LCM relation works, the formula is confusing like product means what",jemh101__hcf_lcm_product_relation,"confusion, algebraic, question",High load_risk,EXPLAIN,1
"can you show how these lines actually cut the circle, not just on paper but like a moving one",jemh110__lines_and_circles_definitions,"diagrammatic, request_representation, graphical",High ki_score opportunity,VISUAL_ANALOGY,1
this theory part is so long pls show me some sum,INHERIT_CURRENT_CONCEPT,"request_hint, procedural_focus, confusion",High load_risk,WORKED_EXAMPLE,1
BPT theorem diagram is easy but like how will i apply it if i have a triangle with like 3 different lines cutting it,jemh106__basic_proportionality_theorem,"confusion, question, diagrammatic, representation_shift",High productive_struggle,REPRESENTATION_TRANSLATION,1
"quadratic formula looks so scary man, can you like show it with numbers so it makes sense",jemh104__quadratic_formula,"confusion, anxiety, algebraic, example_request","High load_risk, Low confidence",WORKED_EXAMPLE,1
i dont get this concept. can you draw it for me?,INHERIT_CURRENT_CONCEPT,"confusion, request_representation, diagrammatic",Moderate load_risk,REPRESENTATION_TRANSLATION,1
"this sin cos tan full form is so confusing, what does opposite and hypotenuse mean on a real triangle?",jemh108__fundamental_trig_ratios,"confusion, question, diagrammatic, request_representation","High load_risk, High ki_score opportunity",VISUAL_ANALOGY,1
"when the parabola touches the x axis, that means what? can you show that again pls?",jemh102__quadratic_zero_geometry,"confusion, question, graphical, request_representation",Partial mastery,REPRESENTATION_TRANSLATION,1
i need a simpler way to see this,INHERIT_CURRENT_CONCEPT,"confusion, request_hint, representation_shift",High load_risk,REPRESENTATION_TRANSLATION,1
"the theorem that tangent is perpendicular to radius, can you like show an animation of that, its hard to imagine",jemh110__tangent_radius_perpendicularity,"confusion, request_representation, diagrammatic, curiosity",High ki_score opportunity,VISUAL_ANALOGY,1
"words words words, i want to see numbers, an actual problem",INHERIT_CURRENT_CONCEPT,"frustration, example_request, procedural_focus","Low productive_struggle, High load_risk",WORKED_EXAMPLE,1
how proof by contradiction works? like in words i get it but how to write it for exams what are the steps,jemh101__proof_by_contradiction_method,"confusion, question, procedural_focus, representation_shift","Moderate productive_struggle, Partial mastery",EXPLAIN,1
this whole explanation is like totally theoretical can u show a practical example na,INHERIT_CURRENT_CONCEPT,"confusion,example_request",High load_risk,WORKED_EXAMPLE,1
"when i draw the lines for these equations they dont intersect exactly at integer points, how to read that?",jemh103__graphical_method_solving,"confusion,graphical,procedural_focus","Moderate load_risk,High productive_struggle",REPRESENTATION_TRANSLATION,1
"can u show this in another way, my brain not getting it this way",INHERIT_CURRENT_CONCEPT,"confusion,representation_shift",High load_risk,REPRESENTATION_TRANSLATION,1
"AAA similarity means what exactly, like can you show me two triangles that are similar just by angles",jemh106__aaa_similarity,"confusion,example_request,diagrammatic","Moderate load_risk,High ki_score opportunity",VISUAL_ANALOGY,1
"too much text here, can i just see the formula and an example sum please",INHERIT_CURRENT_CONCEPT,"cognitive_overload,request_hint,example_request",High load_risk,WORKED_EXAMPLE,1
"proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again",jemh101__proof_by_contradiction_method,"confusion,question,procedural_focus","Moderate load_risk,Partial mastery",EXPLAIN,1
"can u make this into a drawing, i cant imagine it",INHERIT_CURRENT_CONCEPT,"request_representation,diagrammatic","Low productive_struggle,High load_risk",REPRESENTATION_TRANSLATION,1
