student_utterance,concept_id,miniLM_labels,hope_signals,target_policy_action,category
"this diagram is so confusing, can you show it another way?",INHERIT_CURRENT_CONCEPT,"confusion, diagrammatic, representation_shift",High load_risk,REPRESENTATION_TRANSLATION,1
"i dont get this part, pls explain in simpler words",INHERIT_CURRENT_CONCEPT,"confusion, question",Moderate load_risk,EXPLAIN,1
"can you show this with numbers instead of symbols, its hard to visualize",INHERIT_CURRENT_CONCEPT,"confusion, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"what if we draw it, will it make more sense?",INHERIT_CURRENT_CONCEPT,"question, diagrammatic, representation_shift",High productive_struggle,VISUAL_ANALOGY,1
"this formula looks so big, is there a small example to understand?",INHERIT_CURRENT_CONCEPT,"confusion, request_hint",High load_risk,WORKED_EXAMPLE,1
"this whole HCF LCM relation thing, can you draw it for me?",jemh101__hcf_lcm_product_relation,"confusion, diagrammatic, representation_shift","Moderate load_risk, High ki_score opportunity",REPRESENTATION_TRANSLATION,1
"the quadratic formula, how did it come, can you show steps?",jemh104__quadratic_formula,"question, procedural_focus, algebraic",Partial mastery,EXPLAIN,1
"AP sum of n terms formula, can you show me with blocks how it works?",jemh105__sum_n_terms_formula,"confusion, physical, representation_shift","High load_risk, High ki_score opportunity",VISUAL_ANALOGY,1
"why these two triangles are similar, i need to see it differently",jemh106__triangle_similarity_criteria_intro,"confusion, representation_shift",Moderate load_risk,REPRESENTATION_TRANSLATION,1
"that secant and tangent line thing, can we do it with a circle drawing, i'm confused",jemh110__lines_and_circles_definitions,"confusion, diagrammatic, question",High load_risk,REPRESENTATION_TRANSLATION,1
"angle of elevation and depression, always get them mixed up, can you show with a real-life drawing?",jemh109__angle_of_elevation,"confusion, diagrammatic, representation_shift","Recurring error, High load_risk",VISUAL_ANALOGY,1
"mean median mode formulas are too much, can you show me a simple table instead of just the formula?",jemh113__mean_grouped_data,"cognitive_overload, representation_shift, request_representation",High load_risk,REPRESENTATION_TRANSLATION,1
"this proof by contradiction method, is it like in detective movies, when they prove someone innocent by finding the real culprit?",jemh101__proof_by_contradiction_method,"verbal_analogy,transfer_attempt,curiosity",High ki_score,VISUAL_ANALOGY,2
"that quadratic formula, is it kinda like a universal key for all quadratic problems, always works?",jemh104__quadratic_formula,"verbal_analogy,curiosity,abstraction_attempt",Moderate kt_score,EXPLAIN,2
"BPT theorem, can we use it to measure the height of big buildings or something without climbing them?",jemh106__basic_proportionality_theorem,"transfer_attempt,curiosity,example_request",High kt_score,TRANSFER_PROBLEM,2
"sin square theta plus cos square theta is 1, this identity is like a constant law of nature right, always true?",jemh108__pythagorean_trig_identities,"curiosity,abstraction_attempt,question",High ct_score,SOCRATIC_Q,2
"the mean of grouped data, is it similar to how our teacher calculates average marks for the whole class, or is it different?",jemh113__mean_grouped_data,"transfer_attempt,verbal_analogy,question",Moderate kt_score,ANALOGOUS_EXAMPLE,2
"the theorem about equal tangents from an external point, is there any real-life use for this, like in making gears or something?",jemh110__equal_tangent_lengths,"transfer_attempt,example_request,curiosity",High kt_score,TRANSFER_PROBLEM,2
"can we use this whole calculation thing in physics, like for velocity or acceleration?",INHERIT_CURRENT_CONCEPT,"curiosity,transfer_attempt,question",High kt_score,ANALOGOUS_EXAMPLE,2
is this topic like what they use to map out roads or draw city plans?,INHERIT_CURRENT_CONCEPT,"verbal_analogy,transfer_attempt,question",Moderate kt_score,VISUAL_ANALOGY,2
"this concept, will it be useful if I want to build a game in the future or anything with computers?",INHERIT_CURRENT_CONCEPT,"curiosity,transfer_attempt",High kt_score,TRANSFER_PROBLEM,2
"what if the numbers were negative, would the formula still apply the same way, or does it change?",INHERIT_CURRENT_CONCEPT,"abstraction_attempt,question",High ct_score,EXPLAIN,2
"how is this problem different from that one with the train crossing the bridge, feels similar?",INHERIT_CURRENT_CONCEPT,"self_monitoring,question,transfer_attempt",Moderate ct_score,ANALOGOUS_EXAMPLE,2
"this is just too much to remember, i give up now",INHERIT_CURRENT_CONCEPT,"frustration,disengagement,cognitive_overload,low_confidence","High load_risk,Low productive_struggle",ENCOURAGE,3
"just tell me the answer, i cant solve it pls, i promise i wont tell anyone",INHERIT_CURRENT_CONCEPT,"shortcut_seeking,frustration,hint_dependency","Low productive_struggle,High load_risk",METACOGNITIVE_REFLECT,3
"can we move on already? this topic is so boring, nothing new only",INHERIT_CURRENT_CONCEPT,"disengagement,frustration,topic_shift","Surface engagement,Low productive_struggle",ENCOURAGE,3
"why are we even learning this useless stuff, is it coming in boards for sure, or just optional?",INHERIT_CURRENT_CONCEPT,"skepticism,disengagement,shortcut_seeking","Surface engagement,Low productive_struggle",SOCRATIC_COUNTEREXAMPLE,3
"i dont think i will ever get this, its too hard for me, my brain is not working",INHERIT_CURRENT_CONCEPT,"low_confidence,frustration,cognitive_overload","High load_risk,Low productive_struggle",ENCOURAGE,3
"all these sin cos tan identities are making my head spin, why do we need so many ways to write same thing, cant just use one?",jemh108__pythagorean_trig_identities,"frustration,cognitive_overload,confusion","High load_risk,Moderate ct_score",VISUAL_ANALOGY,3
"this proof that root 2 is irrational, is it really important for exam or just timepass for smart kids?",jemh101__proving_irrationality_root_n,"shortcut_seeking,skepticism,disengagement","Low productive_struggle,Surface engagement",SOCRATIC_Q,3
"i just use the quadratic formula for all sums, why do i need to factorise also, its longer na for the same answer?",jemh104__quadratic_formula,"shortcut_seeking,procedural_focus,skepticism","Low productive_struggle,High confidence",MISCONCEPTION_PROBE,3
"this mean of grouped data, why cant we just add everything and divide like normal, why so complicated tables and formulas?",jemh113__mean_grouped_data,"confusion,procedural_focus,frustration","Moderate load_risk,Low productive_struggle",EXPLAIN,3
