row_index,field,label_or_action,issue_type,reason,student_utterance,miniLM_labels,hope_signals,target_policy_action
0,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,this graph is so confusing what is even happening here,"confusion, graphical",High load_risk,REPRESENTATION_TRANSLATION
0,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,this graph is so confusing what is even happening here,"confusion, graphical",High load_risk,REPRESENTATION_TRANSLATION
1,miniLM_labels,representation_shift,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,what is sin cos tan in real life? just numbers means nothing to me,"confusion, physical, representation_shift, question","Moderate load_risk, High ki_score opportunity",VISUAL_ANALOGY
2,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"i dont get this diagram at all, what do these arrows mean","confusion, diagrammatic",High load_risk,REPRESENTATION_TRANSLATION
2,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"i dont get this diagram at all, what do these arrows mean","confusion, diagrammatic",High load_risk,REPRESENTATION_TRANSLATION
2,miniLM_labels,tabular,obvious_missing_label,Strong cue exists but label is not assigned.,"i dont get this diagram at all, what do these arrows mean","confusion, diagrammatic",High load_risk,REPRESENTATION_TRANSLATION
3,miniLM_labels,confusion,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,i understand the formula for finding zeroes but like what is parabola why is it U shaped,"confusion, graphical, representation_shift",Moderate load_risk,REPRESENTATION_TRANSLATION
3,miniLM_labels,representation_shift,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,i understand the formula for finding zeroes but like what is parabola why is it U shaped,"confusion, graphical, representation_shift",Moderate load_risk,REPRESENTATION_TRANSLATION
3,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,i understand the formula for finding zeroes but like what is parabola why is it U shaped,"confusion, graphical, representation_shift",Moderate load_risk,REPRESENTATION_TRANSLATION
3,miniLM_labels,diagrammatic,obvious_missing_label,Strong cue exists but label is not assigned.,i understand the formula for finding zeroes but like what is parabola why is it U shaped,"confusion, graphical, representation_shift",Moderate load_risk,REPRESENTATION_TRANSLATION
3,miniLM_labels,procedural_focus,obvious_missing_label,Strong cue exists but label is not assigned.,i understand the formula for finding zeroes but like what is parabola why is it U shaped,"confusion, graphical, representation_shift",Moderate load_risk,REPRESENTATION_TRANSLATION
4,miniLM_labels,verbal_analogy,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,can u like explain this with a drawing instead of all these big big words,"representation_shift, diagrammatic, verbal_analogy, question","Partial mastery, High productive_struggle",REPRESENTATION_TRANSLATION
4,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,can u like explain this with a drawing instead of all these big big words,"representation_shift, diagrammatic, verbal_analogy, question","Partial mastery, High productive_struggle",REPRESENTATION_TRANSLATION
4,hope_signals,Partial mastery,assigned_label_unsupported,No clear support from utterance or miniLM labels.,can u like explain this with a drawing instead of all these big big words,"representation_shift, diagrammatic, verbal_analogy, question","Partial mastery, High productive_struggle",REPRESENTATION_TRANSLATION
4,hope_signals,High productive_struggle,assigned_label_unsupported,No clear support from utterance or miniLM labels.,can u like explain this with a drawing instead of all these big big words,"representation_shift, diagrammatic, verbal_analogy, question","Partial mastery, High productive_struggle",REPRESENTATION_TRANSLATION
5,miniLM_labels,procedural_focus,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"the BPT diagram is good but how do i use this in sums, like show me an example with numbers","diagrammatic, example_request, procedural_focus",Partial mastery,REPRESENTATION_TRANSLATION
5,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"the BPT diagram is good but how do i use this in sums, like show me an example with numbers","diagrammatic, example_request, procedural_focus",Partial mastery,REPRESENTATION_TRANSLATION
5,miniLM_labels,anxiety,obvious_missing_label,Strong cue exists but label is not assigned.,"the BPT diagram is good but how do i use this in sums, like show me an example with numbers","diagrammatic, example_request, procedural_focus",Partial mastery,REPRESENTATION_TRANSLATION
5,miniLM_labels,request_representation,obvious_missing_label,Strong cue exists but label is not assigned.,"the BPT diagram is good but how do i use this in sums, like show me an example with numbers","diagrammatic, example_request, procedural_focus",Partial mastery,REPRESENTATION_TRANSLATION
5,miniLM_labels,physical,obvious_missing_label,Strong cue exists but label is not assigned.,"the BPT diagram is good but how do i use this in sums, like show me an example with numbers","diagrammatic, example_request, procedural_focus",Partial mastery,REPRESENTATION_TRANSLATION
6,miniLM_labels,representation_shift,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"all these symbols are too much for me, can you use simple language please","cognitive_overload, representation_shift, verbal_analogy, simplification_request",High load_risk,EXPLAIN
6,miniLM_labels,verbal_analogy,assigned_label_unsupported,No clear lexical/semantic cue found in utterance.,"all these symbols are too much for me, can you use simple language please","cognitive_overload, representation_shift, verbal_analogy, simplification_request",High load_risk,EXPLAIN
6,miniLM_labels,question,obvious_missing_label,Strong cue exists but label is not assigned.,"all these symbols are too much for me, can you use simple language please","cognitive_overload, representation_shift, verbal_analogy, simplification_request",High load_risk,EXPLAIN
