row_index,field,label_or_action,issue_type,reason,student_utterance,miniLM_labels,hope_signals,target_policy_action
1236,target_policy_action,TRANSFER_PROBLEM,semantic_contradiction,Policy action conflicts with learner state cues.,how is this problem different from the one we did just now? it looks same only,"transfer_attempt, question, low_confidence",Moderate kt_score,TRANSFER_PROBLEM
1893,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"this feels like something i already know, but i cant place it. is it from 9th standard or something?","transfer_attempt, self_monitoring, low_confidence, question",Prerequisite awareness,BRIDGE_RECAP
2199,target_policy_action,ENCOURAGE,semantic_contradiction,Policy action conflicts with learner state cues.,quadratic formula is like a master key for all quadratic equations na? it just solves everything?,"verbal_analogy, curiosity, high_confidence, question",High ct_score,ENCOURAGE
2267,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"i think i get it, can we move on to next chapter now?","ready_for_next, topic_shift, low_confidence, question","Surface engagement,Low ct_score",QUIZ
2317,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"can we just move on pls, i get it","disengagement, topic_shift, low_confidence, question","Surface engagement,Low productive_struggle",QUIZ
2359,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"ok i get it (not really), next topic pls","disengagement, topic_shift, low_confidence","Surface engagement,Low productive_struggle",QUIZ
2405,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"this is so boring, i already know this from last year","disengagement, low_confidence","Surface engagement,Moderate ct_score",QUIZ
2405,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"this is so boring, i already know this from last year","disengagement, low_confidence","Surface engagement,Moderate ct_score",QUIZ
2437,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"this combined solids question, it's just adding formulas na? no big deal, just need to identify shapes.","low_confidence, shortcut_seeking, procedural_focus, question","Surface engagement,Moderate ct_score",QUIZ
2450,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"cant we just move on? i think i got this, even if i didn't fully understand.","disengagement, low_confidence, topic_shift, question","Low productive_struggle, Surface engagement",QUIZ
2463,target_policy_action,ENCOURAGE,semantic_contradiction,Policy action conflicts with learner state cues.,"i just want to finish this chapter, can we move on now","disengagement, ready_for_next","Low productive_struggle, Surface engagement",ENCOURAGE
2577,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"can we just move on, i think i know this already, no need to waste time","ready_for_next, topic_shift, low_confidence, question","Mastery threshold met, Surface engagement",QUIZ
2679,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,"i already know how to do this type of question, no need to practice this one, let's move on.","shortcut_seeking, ready_for_next, low_confidence",Surface engagement,QUIZ
2679,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"i already know how to do this type of question, no need to practice this one, let's move on.","shortcut_seeking, ready_for_next, low_confidence",Surface engagement,QUIZ
2740,hope_signals,High confidence,semantic_contradiction,Hope signal conflicts with miniLM/utterance cues.,"this whole tangent perpendicular to radius theorem, feels so obvious. why do we need to prove it? just accept it na","frustration, skepticism, question","Low productive_struggle,High confidence",SOCRATIC_COUNTEREXAMPLE
2900,target_policy_action,ENCOURAGE,semantic_contradiction,Policy action conflicts with learner state cues.,is this the last question on this topic? im bored now.,"disengagement, topic_shift, ready_for_next, question",Surface engagement,ENCOURAGE
2915,target_policy_action,QUIZ,semantic_contradiction,Policy action conflicts with learner state cues.,"i know basic proportionality theorem, next topic pls, it's easy","topic_shift, ready_for_next, low_confidence","Surface engagement, Partial mastery",QUIZ
2946,miniLM_labels,low_confidence,semantic_contradiction,Utterance contains cues that oppose this assigned label.,can we skip this? i already know this from tuition.,"topic_shift, shortcut_seeking, low_confidence, question","Low productive_struggle, Surface engagement",QUIZ
