index,category,utterance,old_action,new_action,rule,old_labels,new_labels
1,1,what is sin cos tan in real life? just numbers means nothing to me,EXPLAIN,EXPLAIN,(labels-only),"algebraic, curiosity, physical, question, transfer_attempt","algebraic, curiosity, question, transfer_attempt"
9,1,"can you show how these lines actually cut the circle, not just on paper but like a moving one",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, diagrammatic, question, representation_shift, request_representation","curiosity, diagrammatic, physical, question, representation_shift, request_representation"
11,1,BPT theorem diagram is easy but like how will i apply it if i have a triangle with like 3 different lines cutting it,REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"algebraic, curiosity, diagrammatic, high_confidence, question, representation_shift, request_representation, transfer_attempt","algebraic, curiosity, diagrammatic, high_confidence, physical, question, representation_shift, request_representation, transfer_attempt"
17,1,"the theorem that tangent is perpendicular to radius, can you like show an animation of that, it's hard to imagine",VERBAL_ANALOGY,REPRESENTATION_TRANSLATION,visual->repr_translation,"algebraic, curiosity, diagrammatic, question, representation_shift, request_representation, verbal_analogy","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation"
18,1,"words words words, i want to see numbers, an actual problem",EXPLAIN,WORKED_EXAMPLE,numeric_example->worked_example,"environmental_feedback, self_monitoring","environmental_feedback, example_request, self_monitoring"
20,1,this whole explanation is like totally theoretical can you show a practical example na,EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
24,1,"too much text here, can i just see the formula and an example sum please",EXPLAIN,WORKED_EXAMPLE,numeric_example->worked_example,"algebraic, cognitive_overload, curiosity, environmental_feedback, procedural_focus, question","algebraic, cognitive_overload, curiosity, environmental_feedback, example_request, procedural_focus, question"
25,1,"proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again",SOCRATIC_Q,WORKED_EXAMPLE,numeric_example->worked_example,"abstraction_attempt, algebraic, curiosity, procedural_focus, question","abstraction_attempt, algebraic, curiosity, example_request, procedural_focus, question"
26,1,"can you make this into a drawing, i can't imagine it",VERBAL_ANALOGY,REPRESENTATION_TRANSLATION,visual->repr_translation,"curiosity, diagrammatic, low_confidence, question, self_monitoring, verbal_analogy","curiosity, diagrammatic, low_confidence, question, representation_shift, request_representation, self_monitoring"
34,1,is there like a simpler way to see this? this is too complicated.,SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, question, simplification_request","curiosity, question, simplification_request"
37,1,"i just don't understand what this means, can you give me another way to look at it?",SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, question","confusion, curiosity, question"
53,1,"too much explanation, my head spinning. can we just do an example?",EXPLAIN,WORKED_EXAMPLE,numeric_example->worked_example,"cognitive_overload, curiosity, question","cognitive_overload, curiosity, example_request, question"
55,1,"all these formulas, it's just numbers. can you tell me why we need to learn this in real life?",EXPLAIN,EXPLAIN,(labels-only),"curiosity, physical, question, transfer_attempt","curiosity, question, transfer_attempt"
64,1,"parallel lines, intersecting lines, coincident lines. can you show all three types on the same graph, like animated how they change?",EXPLAIN,REPRESENTATION_TRANSLATION,visual->repr_translation,"curiosity, diagrammatic, graphical, question, representation_shift, request_representation","curiosity, diagrammatic, graphical, question, representation_shift, request_representation"
76,1,"this is hard to imagine, can i see a picture or a moving thing for this?",VERBAL_ANALOGY,REPRESENTATION_TRANSLATION,visual->repr_translation,"curiosity, question, representation_shift, request_representation, verbal_analogy","curiosity, question, representation_shift, request_representation"
82,1,"this is all theory na, can you give me a practical example to make it clear?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, high_confidence, physical, question, transfer_attempt","abstraction_attempt, curiosity, example_request, high_confidence, question, transfer_attempt"
112,1,"this contradiction proof, can we see it like a story or a small animation? i don't get it from just reading.",VERBAL_ANALOGY,REPRESENTATION_TRANSLATION,visual->repr_translation,"abstraction_attempt, algebraic, confusion, curiosity, environmental_feedback, question, representation_shift, request_representation, verbal_analogy","abstraction_attempt, algebraic, confusion, curiosity, environmental_feedback, question, representation_shift, request_representation"
119,1,"i don't understand this, is there another way to show this concept, like a real life example?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, curiosity, physical, question, transfer_attempt","abstraction_attempt, confusion, curiosity, question, transfer_attempt"
120,1,"sir i can't understand this part, can you show it like with a picture or something?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, low_confidence, question, representation_shift, request_representation, self_monitoring","confusion, curiosity, low_confidence, question, representation_shift, request_representation, self_monitoring"
126,1,can you like draw it out for me? i can't understand from just reading this much.,REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"curiosity, diagrammatic, environmental_feedback, low_confidence, question, representation_shift, request_representation, self_monitoring","confusion, curiosity, diagrammatic, environmental_feedback, low_confidence, question, representation_shift, request_representation, self_monitoring"
142,1,"Too much text here, can i just see the formula and an example sum please?",EXPLAIN,WORKED_EXAMPLE,numeric_example->worked_example,"algebraic, cognitive_overload, curiosity, environmental_feedback, procedural_focus, question","algebraic, cognitive_overload, curiosity, environmental_feedback, example_request, procedural_focus, question"
144,1,"i don't understand what is going on here, can you tell me in simple english?",SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, question, simplification_request","confusion, curiosity, question, simplification_request"
169,1,"this contradiction thing, it's hard to grasp. can you show an example with just simple numbers or a very simple statement instead of complex math?",EXPLAIN,WORKED_EXAMPLE,numeric_example->worked_example,"curiosity, question, simplification_request","curiosity, example_request, question, simplification_request"
170,1,is this even useful in real life? i don't get why we are learning this.,EXPLAIN,EXPLAIN,(labels-only),"confusion, curiosity, physical, question, transfer_attempt","confusion, curiosity, question, transfer_attempt"
178,1,"this whole thing is just making me blank, is there a simpler way to explain it to me?",SOCRATIC_Q,EXPLAIN,confusion->explain,"curiosity, question, simplification_request","curiosity, question, simplification_request"
183,1,"this theory is too abstract, like can you give me a practical example or a simulation?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, representation_shift, request_representation, transfer_attempt","abstraction_attempt, curiosity, example_request, question, representation_shift, request_representation, transfer_attempt"
187,1,"this contradiction proof in real numbers, it's so confusing. can you like show it with some simple daily life logic first?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, algebraic, confusion, curiosity, physical, question, simplification_request, transfer_attempt","abstraction_attempt, algebraic, confusion, curiosity, question, simplification_request, transfer_attempt"
198,1,"this explanation is too much theory na, can you show it with a practical example?",EXPLAIN,EXPLAIN,(labels-only),"abstraction_attempt, cognitive_overload, curiosity, physical, question, transfer_attempt","abstraction_attempt, cognitive_overload, curiosity, question, transfer_attempt"
201,1,"i can't imagine what this looks like, can you make it into a drawing please?",VERBAL_ANALOGY,REPRESENTATION_TRANSLATION,visual->repr_translation,"curiosity, diagrammatic, low_confidence, question, self_monitoring, verbal_analogy","curiosity, diagrammatic, low_confidence, question, representation_shift, request_representation, self_monitoring"
203,1,"this is too much theory for me, can we see some numbers with it?",EXPLAIN,WORKED_EXAMPLE,numeric_example->worked_example,"abstraction_attempt, cognitive_overload, curiosity, question, self_monitoring","abstraction_attempt, cognitive_overload, curiosity, example_request, question, self_monitoring"
221,1,"this is all too abstract, i don't get the point. can you show me a real-life example where we use this like for something practical?",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION,(labels-only),"abstraction_attempt, confusion, curiosity, physical, question, representation_shift, request_representation, transfer_attempt","abstraction_attempt, confusion, curiosity, question, representation_shift, request_representation, transfer_attempt"
251,1,"what is the use of all this in real life? can you give me one example, like where this concept is used for something practical?",ANALOGOUS_EXAMPLE,ANALOGOUS_EXAMPLE,(labels-only),"abstraction_attempt, curiosity, example_request, physical, question, transfer_attempt","abstraction_attempt, curiosity, example_request, question, transfer_attempt"
253,1,"This explanation is too academic, like, can you give me an example from my everyday life?",WORKED_EXAMPLE,ANALOGOUS_EXAMPLE,everyday->analogous_example,"curiosity, example_request, question","curiosity, example_request, question"
