row_index,changed_fields,old_student_utterance,new_student_utterance,old_miniLM_labels,new_miniLM_labels,old_hope_signals,new_hope_signals,old_target_policy_action,new_target_policy_action
0,miniLM_labels;hope_signals,this graph is so confusing what is even happening here,this graph is so confusing what is even happening here,"confusion, graphical","confusion, curiosity, graphical, question, representation_shift, request_representation",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
1,miniLM_labels;hope_signals;target_policy_action,what is sin cos tan in real life? just numbers means nothing to me,what is sin cos tan in real life? just numbers means nothing to me,"confusion, physical, representation_shift, question","algebraic, curiosity, physical, question, transfer_attempt","Moderate load_risk, High ki_score opportunity","Active engagement, High ct_score, High ki_score, High ki_score opportunity",VISUAL_ANALOGY,EXPLAIN
2,student_utterance;miniLM_labels;hope_signals,"i dont get this diagram at all, what do these arrows mean","i don't get this diagram at all, what do these arrows mean","confusion, diagrammatic","algebraic, confusion, curiosity, diagrammatic, question, representation_shift, request_representation",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
3,student_utterance;miniLM_labels;hope_signals;target_policy_action,i understand the formula for finding zeroes but like what is parabola why is it U shaped,i understand the formula for finding zeroes but like what is parabola why is it you shaped,"confusion, graphical, representation_shift","algebraic, curiosity, graphical, procedural_focus, question",Moderate load_risk,"Active engagement, High ct_score, Moderate ki_score, Moderate kt_score",REPRESENTATION_TRANSLATION,EXPLAIN
4,student_utterance;miniLM_labels;hope_signals;target_policy_action,can u like explain this with a drawing instead of all these big big words,can you like explain this with a drawing instead of all these big big words,"representation_shift, diagrammatic, verbal_analogy, question","curiosity, diagrammatic, environmental_feedback, question","Partial mastery, High productive_struggle","Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,EXPLAIN
5,miniLM_labels;hope_signals;target_policy_action,"the BPT diagram is good but how do i use this in sums, like show me an example with numbers","the BPT diagram is good but how do i use this in sums, like show me an example with numbers","diagrammatic, example_request, procedural_focus","algebraic, curiosity, diagrammatic, example_request, question, representation_shift, request_representation",Partial mastery,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,WORKED_EXAMPLE
6,miniLM_labels;hope_signals,"all these symbols are too much for me, can you use simple language please","all these symbols are too much for me, can you use simple language please","cognitive_overload, representation_shift, verbal_analogy, simplification_request","cognitive_overload, curiosity, question, self_monitoring, simplification_request",High load_risk,"Moderate load_risk, Cognitive overload, Active engagement, High ct_score",EXPLAIN,EXPLAIN
7,miniLM_labels;hope_signals,"these grouped freq tables are so big, can we see it as a bar chart or something for less confusion","these grouped freq tables are so big, can we see it as a bar chart or something for less confusion","tabular, graphical, representation_shift","confusion, curiosity, graphical, question, representation_shift, request_representation, simplification_request, tabular","Moderate load_risk, High ki_score opportunity","Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
8,student_utterance;miniLM_labels;hope_signals;target_policy_action,"i dont get how this HCF LCM relation works, the formula is confusing like product means what","i don't get how this HCF LCM relation works, the formula is confusing like product means what","confusion, algebraic","algebraic, confusion, curiosity, procedural_focus, question",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",EXPLAIN,REVIEW
9,miniLM_labels;hope_signals;target_policy_action,"can you show how these lines actually cut the circle, not just on paper but like a moving one","can you show how these lines actually cut the circle, not just on paper but like a moving one","diagrammatic, request_representation, graphical, question","curiosity, diagrammatic, question, representation_shift, request_representation",High ki_score opportunity,"Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
10,student_utterance;miniLM_labels;hope_signals,this theory part is so long pls show me some sum,this theory part is so long please show me some sum,"procedural_focus, confusion, example_request","abstraction_attempt, curiosity, example_request, representation_shift, request_representation",High load_risk,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",WORKED_EXAMPLE,WORKED_EXAMPLE
11,miniLM_labels;hope_signals,BPT theorem diagram is easy but like how will i apply it if i have a triangle with like 3 different lines cutting it,BPT theorem diagram is easy but like how will i apply it if i have a triangle with like 3 different lines cutting it,"confusion, diagrammatic, representation_shift","algebraic, curiosity, diagrammatic, high_confidence, question, representation_shift, request_representation, transfer_attempt",High productive_struggle,"High confidence, Mastery threshold met, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
12,miniLM_labels;hope_signals,"quadratic formula looks so scary man, can you like show it with numbers so it makes sense","quadratic formula looks so scary man, can you like show it with numbers so it makes sense","confusion, anxiety, algebraic, example_request","algebraic, curiosity, example_request, procedural_focus, question","High load_risk, Low confidence","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",WORKED_EXAMPLE,WORKED_EXAMPLE
13,student_utterance;miniLM_labels;hope_signals,i dont get this concept. can you draw it for me?,i don't get this concept. can you draw it for me?,"confusion, request_representation, diagrammatic, question","abstraction_attempt, confusion, curiosity, diagrammatic, question, representation_shift, request_representation, self_monitoring",Moderate load_risk,"Moderate load_risk, Active engagement, High ct_score, High ki_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
14,miniLM_labels;hope_signals;target_policy_action,"this sin cos tan full form is so confusing, what does opposite and hypotenuse mean on a real triangle?","this sin cos tan full form is so confusing, what does opposite and hypotenuse mean on a real triangle?","confusion, question, diagrammatic, request_representation","algebraic, cognitive_overload, confusion, curiosity, diagrammatic, question","High load_risk, High ki_score opportunity","High load_risk, Cognitive overload, Active engagement, High ct_score",VISUAL_ANALOGY,EXPLAIN
15,student_utterance;miniLM_labels;hope_signals,"when the parabola touches the x axis, that means what? can you show that again pls?","when the parabola touches the x axis, that means what? can you show that again please?","confusion, question, graphical, request_representation","algebraic, curiosity, graphical, question",Partial mastery,"Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
16,miniLM_labels;hope_signals;target_policy_action,i need a simpler way to see this,i need a simpler way to see this,"confusion, representation_shift, simplification_request","self_monitoring, simplification_request",High load_risk,"Moderate ct_score, Moderate confidence",REPRESENTATION_TRANSLATION,EXPLAIN
17,student_utterance;miniLM_labels;hope_signals;target_policy_action,"the theorem that tangent is perpendicular to radius, can you like show an animation of that, its hard to imagine","the theorem that tangent is perpendicular to radius, can you like show an animation of that, it's hard to imagine","confusion, request_representation, diagrammatic, curiosity","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation, verbal_analogy",High ki_score opportunity,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",VISUAL_ANALOGY,VERBAL_ANALOGY
18,miniLM_labels;hope_signals;target_policy_action,"words words words, i want to see numbers, an actual problem","words words words, i want to see numbers, an actual problem","frustration, example_request, procedural_focus","environmental_feedback, self_monitoring","Low productive_struggle, High load_risk","Moderate ct_score, Moderate confidence",WORKED_EXAMPLE,EXPLAIN
19,miniLM_labels;hope_signals,how proof by contradiction works? like in words i get it but how to write it for exams what are the steps,how proof by contradiction works? like in words i get it but how to write it for exams what are the steps,"confusion, question, procedural_focus, representation_shift","abstraction_attempt, algebraic, anxiety, curiosity, environmental_feedback, high_confidence, procedural_focus, question, self_monitoring","Moderate productive_struggle, Partial mastery","Moderate load_risk, Anxiety, High confidence, Mastery threshold met",EXPLAIN,EXPLAIN
20,student_utterance;miniLM_labels;hope_signals;target_policy_action,this whole explanation is like totally theoretical can u show a practical example na,this whole explanation is like totally theoretical can you show a practical example na,"confusion, example_request, question","curiosity, physical, question, transfer_attempt",High load_risk,"Active engagement, High ct_score, High ki_score, High ki_score opportunity",WORKED_EXAMPLE,EXPLAIN
21,student_utterance;miniLM_labels;hope_signals,"when i draw the lines for these equations they dont intersect exactly at integer points, how to read that?","when i draw the lines for these equations they don't intersect exactly at integer points, how to read that?","confusion, graphical, procedural_focus, question","curiosity, diagrammatic, environmental_feedback, question, representation_shift, request_representation","Moderate load_risk,High productive_struggle","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
22,student_utterance;miniLM_labels;hope_signals;target_policy_action,"can u show this in another way, my brain not getting it this way","can you show this in another way, my brain not getting it this way","confusion, representation_shift, question, simplification_request","cognitive_overload, curiosity, question, self_monitoring",High load_risk,"Moderate load_risk, Cognitive overload, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,EXPLAIN
23,miniLM_labels;hope_signals;target_policy_action,"AAA similarity means what exactly, like can you show me two triangles that are similar just by angles","AAA similarity means what exactly, like can you show me two triangles that are similar just by angles","confusion, example_request, diagrammatic","curiosity, diagrammatic, question, representation_shift, request_representation","Moderate load_risk,High ki_score opportunity","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
24,miniLM_labels;hope_signals;target_policy_action,"too much text here, can i just see the formula and an example sum please","too much text here, can i just see the formula and an example sum please","cognitive_overload, example_request","algebraic, cognitive_overload, curiosity, environmental_feedback, procedural_focus, question",High load_risk,"Moderate load_risk, Cognitive overload, Active engagement, High ct_score",WORKED_EXAMPLE,EXPLAIN
25,miniLM_labels;hope_signals;target_policy_action,"proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again","proof by contradiction is so weird, why do we assume it's true then prove it's false, can you show steps with root 2 example again","confusion, procedural_focus, example_request","abstraction_attempt, algebraic, curiosity, procedural_focus, question","Moderate load_risk,Partial mastery","Active engagement, High ct_score, High ki_score, Moderate kt_score",EXPLAIN,SOCRATIC_Q
26,student_utterance;miniLM_labels;hope_signals;target_policy_action,"can u make this into a drawing, i cant imagine it","can you make this into a drawing, i can't imagine it","request_representation, diagrammatic, question","curiosity, diagrammatic, low_confidence, question, self_monitoring, verbal_analogy","Low productive_struggle,High load_risk","Moderate load_risk, Low confidence, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,VERBAL_ANALOGY
27,miniLM_labels;hope_signals;target_policy_action,"when we combine solids, the surface area calculation is confusing, which parts to add which to subtract, like show it with colours na","when we combine solids, the surface area calculation is confusing, which parts to add which to subtract, like show it with colours na","confusion, diagrammatic, request_representation, question","algebraic, confusion, curiosity, diagrammatic, procedural_focus, question","High load_risk,Partial mastery","Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",VISUAL_ANALOGY,REVIEW
28,miniLM_labels;hope_signals,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,the formula an = a + (n-1)d is fine but how to know what is 'a' and 'd' from a story problem? give me an example with like ages,"confusion, example_request, transfer_attempt, question","algebraic, answer_attempt, curiosity, example_request, procedural_focus, question, verbal_analogy","Moderate load_risk,Low productive_struggle","Active engagement, High ct_score, High ki_score, High ki_score opportunity",WORKED_EXAMPLE,WORKED_EXAMPLE
29,student_utterance;miniLM_labels;hope_signals;target_policy_action,"sin square theta plus cos square theta equals 1, but why? can u draw the triangle and show how it comes from pythagoras theorem?","sin square theta plus cos square theta equals 1, but why? can you draw the triangle and show how it comes from pythagoras theorem?","curiosity, diagrammatic, abstraction_attempt, question","algebraic, curiosity, diagrammatic, question, representation_shift, request_representation, transfer_attempt","High productive_struggle,High ki_score","Active engagement, High ct_score, High ki_score, High ki_score opportunity",VISUAL_ANALOGY,REPRESENTATION_TRANSLATION
30,miniLM_labels;hope_signals,"this diagram is not clear to me, can you zoom in or show it from another angle?","this diagram is not clear to me, can you zoom in or show it from another angle?","confusion, question, diagrammatic","confusion, curiosity, diagrammatic, question, representation_shift, request_representation",High load_risk,"Moderate load_risk, Active engagement, High ct_score, Moderate ki_score",REPRESENTATION_TRANSLATION,REPRESENTATION_TRANSLATION
31,miniLM_labels;hope_signals;target_policy_action,"the proof for root 2 being irrational, it's so abstract, can we see it with numbers changing or like a step by step animation?","the proof for root 2 being irrational, it's so abstract, can we see it with numbers changing or like a step by step animation?","confusion, question, representation_shift, example_request","abstraction_attempt, algebraic, curiosity, example_request, procedural_focus, question, representation_shift, request_representation","Moderate load_risk, High ki_score opportunity","Active engagement, High ct_score, High ki_score, High ki_score opportunity",REPRESENTATION_TRANSLATION,WORKED_EXAMPLE
32,miniLM_labels;hope_signals;target_policy_action,"too many words here, can you summarise it in like points or a flowchart?","too many words here, can you summarise it in like points or a flowchart?","confusion, request_representation, question","cognitive_overload, curiosity, environmental_feedback, graphical, question",High load_risk,"Moderate load_risk, Cognitive overload, Active engagement, High ct_score",REPRESENTATION_TRANSLATION,EXPLAIN
33,miniLM_labels;hope_signals;target_policy_action,"when I plot the lines for linear equations, sometimes they don't cross nicely, like they intersect between grid lines, how to read that from the graph only?","when I plot the lines for linear equations, sometimes they don't cross nicely, like they intersect between grid lines, how to read that from the graph only?","confusion, question, graphical","curiosity, diagrammatic, environmental_feedback, graphical, question, representation_shift, request_representation","Moderate load_risk, Partial mastery","Active engagement, High ct_score, Moderate ki_score, High ki_score opportunity",EXPLAIN,REPRESENTATION_TRANSLATION
