student utterance present,Actual non perfect student utterance
I can solve the quadratic equation but the parabola graph confuses me,I can solve the quadratic equation but parabola confuses me
The factor tree looks different from the way you wrote the prime factorization,The factor tree looks different from prime factor
"I cannot read the ogive curve properly, how do I find the median from it?","I cant read the ogive curve properly, how to find median from it?"
The tangent diagram makes sense but the proof with perpendicular radius is confusing,tangent diagram makes sense but perpendicular radius is what confuses me a lot
Can I use the elimination method instead of substitution method for this problem?,I want to use elimination method instead of substitution 
Can I use the section formula to find the midpoint too?,Can I use the section formula to find the midpoint
"Surface area and volume problems are too long, can you just give me the answer?","Surface area n all are too long, just give me the answer, please, I wont tell anyone"
"Before doing trig identities, can we revise the basic sin cos tan ratios?","Before all this, I want to understand sin cos etc"
I need to go back to zeroes of polynomials before I can understand quadratic equations,"I didn’t understand zeroes of polynomials only, after that teach me quadratic equations"
"Coordinate geometry makes zero sense to me, I'll just skip this chapter.",Coordinate geometry I will learn later now please let me go.
I tried the section formula five times and I still get the wrong answer.,"I tried this formula 5 times, I cant understand this."
